CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2021;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Facultad;Grado;54;38;337;70.37;16/04/2022
2021;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;176;176;3959;100.00;16/04/2022
2021;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Centro adscrito;Grado;59;59;3313;100.00;16/04/2022
2021;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Centro adscrito;Grado;36;36;3051;100.00;16/04/2022
2021;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;55;50;311;90.91;16/04/2022
2021;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;60;59;397;98.33;16/04/2022
2021;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;60;59;667;98.33;16/04/2022
2021;Grado: Información y Documentación;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;36;16;108;44.44;16/04/2022
2021;Grado: Fisioterapia;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;60;60;1993;100.00;16/04/2022
2021;Grado: Terapia Ocupacional;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;80;80;757;100.00;16/04/2022
2021;Grado: Trabajo Social;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Grado;180;165;1260;91.67;16/04/2022
2021;Grado: Ingeniero en Diseño Industrial y Desarrollo de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;75;75;591;100.00;16/04/2022
2021;Grado: Ciencia y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;Facultad;Grado;60;58;643;96.67;16/04/2022
2021;Grado: Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;62;62;1072;100.00;16/04/2022
2021;Grado: Geología;Zaragoza;Facultad de Ciencias;Facultad;Grado;50;32;179;64.00;16/04/2022
2021;Grado: Óptica y Optometría;Zaragoza;Facultad de Ciencias;Facultad;Grado;60;57;878;95.00;16/04/2022
2021;Grado: Magisterio en Educación Primaria;Zaragoza;Facultad de Educación;Facultad;Grado;240;238;1773;99.17;16/04/2022
2021;Grado: Magisterio en Educación Primaria;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Grado;120;120;895;100.00;16/04/2022
2021;Grado: Magisterio en Educación Primaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;120;116;988;96.67;16/04/2022
2021;Grado: Magisterio en Educación Infantil;Zaragoza;Facultad de Educación;Facultad;Grado;120;120;1329;100.00;16/04/2022
2021;Grado: Magisterio en Educación Infantil;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Grado;120;118;738;98.33;16/04/2022
2021;Grado: Magisterio en Educación Infantil;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;120;116;848;96.67;16/04/2022
2021;Grado: Medicina;Zaragoza;Facultad de Medicina;Facultad;Grado;180;185;5998;102.78;16/04/2022
2021;Grado: Medicina;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;45;45;5297;100.00;16/04/2022
2021;Grado: Estudios Clásicos;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;30;21;161;70.00;16/04/2022
2021;Grado: Estudios Ingleses;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;100;97;498;97.00;16/04/2022
2021;Grado: Filología Hispánica;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;70;70;311;100.00;16/04/2022
2021;Grado: Historia;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;165;100;550;60.61;16/04/2022
2021;Grado: Historia del Arte;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;120;64;372;53.33;16/04/2022
2021;Grado: Física;Zaragoza;Facultad de Ciencias;Facultad;Grado;85;85;841;100.00;16/04/2022
2021;Grado: Biotecnología;Zaragoza;Facultad de Ciencias;Facultad;Grado;66;66;1347;100.00;16/04/2022
2021;Grado: Matemáticas;Zaragoza;Facultad de Ciencias;Facultad;Grado;70;70;991;100.00;16/04/2022
2021;Grado: Química;Zaragoza;Facultad de Ciencias;Facultad;Grado;150;135;1221;90.00;16/04/2022
2021;Grado: Nutrición Humana y Dietética;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;56;56;1041;100.00;16/04/2022
2021;Grado: Odontología;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;36;37;1666;102.78;16/04/2022
2021;Grado: Veterinaria;Zaragoza;Facultad de Veterinaria;Facultad;Grado;146;146;2078;100.00;16/04/2022
2021;Grado: Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;400;396;1927;99.00;16/04/2022
2021;Grado: Administración y Dirección de Empresas;Huesca;Facultad de Empresa y Gestión Pública;Facultad;Grado;65;51;474;78.46;16/04/2022
2021;Grado: Administración y Dirección de Empresas;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;45;32;325;71.11;16/04/2022
2021;Grado: Derecho;Zaragoza;Facultad de Derecho;Facultad;Grado;308;305;1321;99.03;16/04/2022
2021;Grado: Economía;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;200;157;1231;78.50;16/04/2022
2021;Grado: Finanzas y Contabilidad;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;150;122;850;81.33;16/04/2022
2021;Grado: Geografía y Ordenación del Territorio;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;50;27;153;54.00;16/04/2022
2021;Grado: Gestión y Administración Pública;Huesca;Facultad de Empresa y Gestión Pública;Facultad;Grado;45;35;166;77.78;16/04/2022
2021;Grado: Marketing e Investigación de Mercados;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;150;149;1359;99.33;16/04/2022
2021;Grado: Relaciones Laborales y Recursos Humanos;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Grado;180;163;966;90.56;16/04/2022
2021;Grado: Turismo;Zaragoza;Escuela Universitaria de Turismo de Zaragoza;Centro adscrito;Grado;80;28;523;35.00;16/04/2022
2021;Grado: Ingeniería Agroalimentaria y del Medio Rural;Huesca;Escuela Politécnica Superior;Facultad;Grado;45;49;218;108.89;16/04/2022
2021;Grado: Ingeniería Civil;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;30;11;187;36.67;16/04/2022
2021;Grado: Arquitectura Técnica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;45;31;208;68.89;16/04/2022
